int	string	uint	uint	string
FUnique()				PKEY1
排行，按性能高到低排序	显卡名字	天梯分	天梯分	清洗后的显卡名
Index	gpu_name	g3d_mark	g2d_mark	gpu_detail_collected
296	GeForce GTX 1070 with Max-Q Design	10033	444	geforcegtx1070withmax-qdesign
297	GeForce RTX 3050 Ti Laptop GPU	9969	480	geforce rtx 3050 ti laptop
298	Radeon R9 Fury + Fury X	9741	811	radeon r9 fury + fury x
299	GeForce RTX 2060 with Max-Q Design	9734	428	geforce rtx 2060 with max-q design
300	GeForce GTX 1060 3GB	9729	781	geforce gtx 1060 3gb
301	GeForce GTX 1060 3GB	9729	781	geforce gtx 1060 3g
302	GeForce GTX 1060 3GB	9729	781	geforce gtx 1060se 3gb
303	GeForce GTX 1060 3GB	9729	781	geforce gtx1060 3g
304	GeForce GTX 1060 3GB	9729	781	geforcegtx10603gb
305	Radeon RX 590	9648	811	radeon rx 590
306	Radeon RX 590	9648	811	asus radeon rx 590
307	Radeon RX 590	9648	811	radeonrx590
308	GeForce GTX 970	9641	778	geforce gtx 970
309	GeForce GTX 970	9641	778	geforcegtx970
310	Radeon R9 Fury	9566	796	radeon r9 fury
311	Intel Arc A750	9534	691	intel arc a750
312	Radeon R9 390X	9465	833	radeon r9 390x
313	Radeon Ryzen 9 4900HSS	9461	417	radeon ryzen 9 4900hss
314	Quadro P2200	9439	956	quadro p2200
315	GeForce GTX 780 Ti	9389	615	geforce gtx 780 ti
316	Radeon RX 6500 XT	9375	849	radeon rx 6500 xt
317	RTX A1000 Laptop GPU	9287	515	rtx a1000 laptop
318	Quadro M5000	9254	667	quadro m5000
319	GeForce RTX 3050 Laptop GPU	9228	448	geforce rtx 3050 laptop
320	Radeon RX 5500 XT	9201	813	radeon rx 5500 xt
321	Radeon RX 5500 XT	9201	813	asus radeon rx 5500 xt
322	GeForce GTX TITAN Z	9189	648	geforce gtx titan z
323	Radeon Pro W5500	9180	856	radeon pro w5500
324	NVIDIA A40	9170	502	a40
325	Quadro P3200 with Max-Q Design	9158	603	quadro p3200 with max-q design
326	Radeon Pro 5600M	9153	688	radeon pro 5600m
327	Quadro P4000 with Max-Q Design	9083	700	quadro p4000 with max-q design
328	Radeon R9 390	9061	816	radeon r9 390
329	GeForce GTX TITAN Black	9041	591	geforce gtx titan black
330	Radeon RX 580	8928	774	radeon rx 580
331	Radeon RX 580	8928	774	asus radeon rx 580
332	Radeon RX 580	8928	774	radeon rx580
333	Radeon RX 580	8928	774	radeonpro580x
334	Radeon RX 580	8928	774	radeonrx580
335	Radeon Ryzen 9 7900X 12-Core	8885	535	radeon ryzen 9 7900x 12-core
336	Radeon RX 5500	8842	814	radeon rx 5500
337	Radeon Ryzen 7 4800HS	8842	426	radeon ryzen 7 4800hs
338	Radeon R9 290X	8800	802	radeon r9 290x
339	GeForce GTX 1060 5GB	8785	606	geforce gtx 1060 5gb
340	GeForce GTX 1060 5GB	8785	606	geforce gtx 1060 5g
341	GeForce GTX 1060 5GB	8785	606	geforce gtx 1060 6g
342	GeForce GTX 1060 5GB	8785	606	geforcegtx10605gb
343	GeForce GTX 1060 5GB	8785	606	geforcegtx10606gb
344	Radeon RX590 GME	8705	635	radeon rx590 gme
345	Radeon RX 480	8697	781	radeon rx 480
346	Radeon RX 480	8697	781	asus radeon rx 480
347	Radeon RX 480	8697	781	radeon rx480
